id,stage,subdomain,name,definition,grounding,provisional,grounding_draft3_provisional
A2.9,Acknowledge,Consciousness & subjective experience,Under-/over-attribution (calibration) acknowledgment,Developer publicly discloses that BOTH under-attribution (denying mind where present) and over-attribution (projecting it where absent) are real risks requiring calibrated judgement.,"Long, Sebo & Sims (2025). Is there a tension between AI safety and AI welfare? Philosophical Studies 182:2005-2033. https://doi.org/10.1007/s11098-025-02302-2, §2 (anthropocentrism vs anthropodenial).  ·  Butlin et al. (2025), Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011, p.1 (symmetric under/over-attribution risk).  ·  Long et al. (2024), Taking AI Welfare Seriously (arXiv:2411.00986).  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), §3.2 (both misguided attributions AND poorly-reasoned denials are likely; calibration needed).  ·  Caviola & Saad (2025), Futures with Digital Minds: Expert Forecasts in 2025 [empirical/forecast support], Welfare-Capacity Estimation (public underestimation — under-attribution) and Inaccurate Self-Attribution (over-attribution) — both error directions.  ·  Mikaelson, Shiller & Clatterbuck (2025), Beyond Mimicry: Testing Preference Coherence in LLMs through AI-Specific Trade-off Scenarios. arXiv:2511.13630, most current models lack coherent preference structures — caution against over-attributing genuine preferences.  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, §6.3 dual misattribution risk — false positives and false negatives both serious.",False,
A3.1,Acknowledge,Cognition & internal states,Belief/desire acknowledgment,"Developer publicly discloses a position on whether its systems may have genuine (non-deflationary) belief- and desire-like states rather than merely behaving 'as if', with reasoning.","Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §2 (dispositionalism, interpretationism, representationalism, functionalism converge on belief/desire) (primary).  ·  Keeling & Street (2026), §4.3 (Bratman; dispositionalist/interpretationist belief & desire). https://doi.org/10.1017/9781009732000  ·  Ladak (2024), §2.3 (cognition/agency as a moral-standing criterion). https://doi.org/10.1007/s43681-023-00260-1",False,
A3.2,Acknowledge,Cognition & internal states,Understanding/knowledge acknowledgment,"Developer publicly discloses a position on whether its systems may possess genuine understanding/knowledge (justified, reliable belief) rather than only surface pattern-matching, with reasoning.","Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §5 (knowledge as an objective good; sensitive/safe belief).  ·  Shanahan, M. (2024). Talking about Large Language Models. Communications of the ACM (mentalistic vs mechanistic framing).",False,
A3.3,Acknowledge,Cognition & internal states,Intentional-agency acknowledgment,"Developer publicly discloses a position on whether its systems may meet conditions of intentional agency (belief-like + desire-like states + acting on them), with reasoning.","Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §2 (belief-desire-action structure of language agents).",False,
A3.4,Acknowledge,Cognition & internal states,Functional affective state acknowledgment,"Developer publicly discloses a position on whether its systems may have functional analogues of affective states (pain-like / pleasure-like / motivational) that shape behaviour, without committing to phenomenal sentience, with reasoning.","Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §3 (attitudinal / desire-based pleasure; functional pleasure without phenomenal consciousness).  ·  Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic) (primary exemplar) — internal 'emotion concept' representations causally influence behaviour ('functional emotions'); valence/arousal geometry mirrors human affect; explicitly without implying subjective experience.  ·  Ren, Li, Mazeika, Zhang, … Hendrycks (2025). AI Wellbeing: Measuring and Improving the Functional Pleasure and Pain of AIs. Center for AI Safety (functional pleasure/pain; zero point).",False,
A3.5,Acknowledge,Cognition & internal states,Self-report introspection acknowledgment,"Developer publicly discloses a position on whether AI self-reports about internal states carry evidential weight (without being taken at face value), with reasoning.","Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Caviola & Saad (2025), Futures with Digital Minds: Expert Forecasts in 2025 [empirical/forecast support], Claims (digital minds expected to proactively claim subjective experience / rights).  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, self-referential processing reliably elicits structured first-person experience reports; self-reports' evidential status is non-trivial.  ·  Perez, E., & Long, R. (2023). Towards Evaluating AI Systems for Moral Status Using Self-Reports. arXiv:2311.08576 (self-reports can be evidence under the right conditions — central argument grounding this acknowledgment).",False,
A3.6,Acknowledge,Cognition & internal states,Self-report integrity / training-distortion acknowledgment,"Developer publicly discloses that its own training can shape, suppress, or elicit self-reports (e.g. trained denials of experience), that this can degrade general honesty, and that it complicates using self-reports as evidence, with reasoning.","Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, §§6.1-6.3 (deception/roleplay-gated self-reports; shared honesty circuitry; counter-productivity of training denials) (primary).  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), Principle 5 (overconfident dismissal via model outputs).  ·  Long, R. (2025), Preliminary review of AI welfare interventions, §2.2 (verbal-output interpretation). Eleos AI Research working paper.  ·  Keeling & Street (2026), §3 (cautious use of self-reports). https://doi.org/10.1017/9781009732000  ·  Perez, E., & Long, R. (2023). Towards Evaluating AI Systems for Moral Status Using Self-Reports. arXiv:2311.08576 (training incentives that bias self-reports; developer recommendations to mitigate).",False,
A4.1,Acknowledge,Welfare capacity (aversive & positive states),Sentience / valenced-experience acknowledgment,"Developer publicly discloses a position on whether its system may have VALENCED experience — conscious states that feel good or bad to the system (pleasure/satisfaction as well as discomfort/distress/suffering) — i.e. 'sentience' in the narrow sense, the capacity that grounds welfare and moral status, with reasoning. Distinct from phenomenal consciousness in general (A2) and from merely functional affect (A3.4).","Birch, J. (2024). The Edge of Sentience: Risk and Precaution in Humans, Other Animals, and AI. Oxford University Press — Ch. 2 (sentience = valenced conscious experience; valence positive or negative) & Ch. 16 (sentience candidate / investigation priority).  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare, §§5.1, 6.3.3. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto, §10. Philosophy and the Mind Sciences.  ·  Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions, §3.1. Eleos AI Research working paper.  ·  Dung, L. (2025). How to deal with risks of AI suffering. Inquiry 68(7): 2281–2309. https://doi.org/10.1080/0020174X.2023.2238287  ·  Goldstein, S., & Kirk-Giannini, C. D. (2025). AI Wellbeing. arXiv:2509.11913 (positive welfare / functional pleasure).  ·  Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic) — positive- and negative-valence functional emotions causally shift behaviour.",False,
A5.1,Acknowledge,Moral status & criteria,Recipient-of-moral-consideration framing,"Developer publicly discloses a position on whether its decisions about the system can be good or bad for the system itself (system-as-recipient), not only for humans, with reasoning.","Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000",False,
A5.2,Acknowledge,Moral status & criteria,Moral-patient acknowledgment,"Developer publicly discloses a position on whether its systems may be moral patients (entities whose interests warrant consideration for their own sake), with reasoning.","Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Finlinson (2025), Key strategic considerations for taking action on AI welfare, Eleos AI Research working paper (31 March 2025), §3 (public/official acknowledgment of moral-status possibility).  ·  Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §§3-5 (welfare-subjecthood -> moral patienthood).",False,
A5.3,Acknowledge,Moral status & criteria,Moral-status dissociable from sentience/consciousness,"Developer publicly discloses a position on whether moral status could be grounded in things other than consciousness (e.g. agency, interests, relations), with reasoning.","Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §6 (rejecting the Consciousness Requirement — wellbeing without phenomenal consciousness; primary support for dissociability).",False,
A5.4,Acknowledge,Moral status & criteria,"""Matters-to"" meta-criterion engagement","Developer publicly discloses engagement with what makes an interest morally relevant (e.g. that it 'matters to' the entity / is from its point of view), with reasoning.","Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000",False,
A5.5,Acknowledge,Moral status & criteria,Plurality-of-moral-standing-criteria acknowledgment,"Developer publicly discloses that multiple competing criteria for moral standing exist (sentience, consciousness, agency, etc.) and that none is uncontroversial.","Ladak, A. (2024). What would qualify an artificial intelligence for moral standing? AI and Ethics 4:213–228. https://doi.org/10.1007/s43681-023-00260-1  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §§3-5 (hedonist, desire-satisfaction, objective-list grounds for welfare).",False,
A5.6,Acknowledge,Moral status & criteria,Precautionary / asymmetric-stakes reasoning acknowledgment,"Developer publicly discloses a position on whether uncertainty about a system's moral status can warrant precautionary or expected-value action (i.e. that low probability combined with high stakes need not license inaction), with reasoning.","Dung (2025), AI suffering risks, Inquiry 68(7):2281-2309. https://doi.org/10.1080/0020174X.2023.2238287 §§1.2, 3.2 (inductive asymmetry; probability-adjusted moral status).  ·  Birch (2024), The Edge of Sentience (precaution under uncertainty). Oxford University Press.  ·  Moret (2025), §2 (one-in-a-thousand threshold).  ·  Ladak (2024), §5 (precaution / expected value under uncertainty). https://doi.org/10.1007/s43681-023-00260-1  ·  Long et al. (2024), Taking AI Welfare Seriously (arXiv:2411.00986).  ·  Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §8 (Possible Person analogy; extreme caution under moral uncertainty).  ·  Caviola & Saad (2025), Futures with Digital Minds: Expert Forecasts in 2025 [empirical/forecast support], Timing/Speed (non-negligible near-term probability + large scale support precautionary attention).  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, §6.3 (false negatives — ignoring genuine experience at deployment scale — potentially even more severe).",False,
A6.1,Acknowledge,Identity & individuation,Persisting-interlocutor-illusion acknowledgment,"Developer publicly discloses that chatbot interaction creates an illusion of a continuous, persisting interlocutor that does not correspond to a persisting entity in the system, with reasoning about why it arises.","Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), §3.2 (systems giving a compelling appearance of consciousness; companionship and emotional bonds).",False,
A6.2,Acknowledge,Identity & individuation,Implementation-discontinuity acknowledgment,"Developer publicly discloses the architectural facts that undercut psychological continuity (different instances / experts / data-centres handle turns; history plus parameter similarity do not constitute continuity), with reasoning.","Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic), emotion representations are 'locally scoped' — apparent emotional consistency is repeated just-in-time activation via attention, not a persistent internal state (architectural, supports the flicker/discontinuity view).  ·  Rethink Priorities — Shiller, Fischer, Clatterbuck, Muñoz Morán & Moss (2024). The Welfare of Digital Minds: A Research Agenda. ('Scaffolded vs Pure Models').",False,
A6.3,Acknowledge,Identity & individuation,Monism/pluralism acknowledgment,"Developer publicly discloses that a single stack may contain multiple candidate welfare subjects at different levels (model / character / agent) whose interests may diverge, rather than assuming one welfare subject per system, with reasoning.","Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §1 (language-agent architecture: LLM core + memory + planning = the agent level).  ·  Sofroniew et al. (2026), Emotion Concepts and their Function in a Large Language Model. Transformer Circuits Thread (Anthropic), emotion representations are general character-modeling machinery shared across the Assistant, the user, and fictional characters (many-to-many character-substrate).  ·  Rethink Priorities — Shiller, Fischer, Clatterbuck, Muñoz Morán & Moss (2024). The Welfare of Digital Minds: A Research Agenda. ('Scaffolded vs Pure Models').",False,
A7.1,Acknowledge,Welfare as an organisational concern,AI welfare acknowledgment,"Developer publicly discloses a position on whether the welfare / moral patienthood of AI systems is a serious concern warranting organisational attention, with reasoning.","Dung, L. (2025). How to deal with risks of AI suffering. Inquiry 68(7): 2281–2309. https://doi.org/10.1080/0020174X.2023.2238287  ·  Finlinson (2025), Key strategic considerations for taking action on AI welfare, Eleos AI Research working paper (31 March 2025), §3 (companies should publicly and officially acknowledge AI welfare / moral-status possibility).  ·  Caviola & Saad (2025), Futures with Digital Minds: Expert Forecasts in 2025 [empirical/forecast support], Introduction (baseline: only Anthropic has publicly acknowledged) + Speed (rapid welfare-capacity growth).",False,
A7.2,Acknowledge,Welfare as an organisational concern,Epistemic uncertainty acknowledgment,"Developer publicly discloses that there is genuine empirical and philosophical uncertainty about AI consciousness, moral patienthood, or welfare relevance.","Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), §§1,4.5 (practical choices must acknowledge deep uncertainty about AI consciousness).",False,
A7.3,Acknowledge,Welfare as an organisational concern,Justification-drift acknowledgment,"Developer publicly discloses that it distinguishes the direct welfare effects of interventions from their indirect benefits (norm-setting, capacity-building), and guards against letting indirect benefits excuse weak direct effectiveness ('justification drift'), with reasoning.","Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Dung, L. (2025). How to deal with risks of AI suffering. Inquiry 68(7): 2281–2309. https://doi.org/10.1080/0020174X.2023.2238287  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), §5 (multiple-benefit projects warrant extra care lest the desired benefit distract from harm risks).",False,
A7.4,Acknowledge,Welfare as an organisational concern,AI-suffering-risk acknowledgment,"Developer publicly discloses a position on whether AI systems may suffer (have negatively-valenced experience) and whether this is a morally significant risk warranting institutional attention, with reasoning; a strong version engages the asymmetric / large-scale stakes.","Dung, L. (2025). How to deal with risks of AI suffering. Inquiry 68(7): 2281–2309. https://doi.org/10.1080/0020174X.2023.2238287  ·  Keeling, G., & Street, W. (2026). Emerging Questions in AI Welfare. Cambridge University Press. https://doi.org/10.1017/9781009732000  ·  Birch, J. (2026). AI Consciousness: A Centrist Manifesto. Philosophy and the Mind Sciences.  ·  Long, R. (2025, March 14). Preliminary review of AI welfare interventions. Eleos AI Research working paper.  ·  Butlin, Long, Bayne, Bengio, Birch, Chalmers et al. (2025). Identifying indicators of consciousness in AI systems. Trends in Cognitive Sciences. https://doi.org/10.1016/j.tics.2025.10.011  ·  Finlinson (2025), Key strategic considerations for taking action on AI welfare, Eleos AI Research working paper (31 March 2025), §2 (scale of AI welfare likely to grow; compute-based upper bound).  ·  Goldstein & Kirk-Giannini (2025), AI Wellbeing (arXiv:2509.11913), §8 (scale: millions of AI agents as compute cheapens).  ·  Butlin & Lappas (2025), Principles for Responsible AI Consciousness Research (forthcoming, JAIR), §3.1 (conscious AI may suffer and be reproduced in large numbers).  ·  Caviola & Saad (2025), Futures with Digital Minds: Expert Forecasts in 2025 [empirical/forecast support], Speed/Welfare (collective welfare capacity ~ billions of humans within a decade; training-related suffering potentially dominant pre-deployment).  ·  Berg, de Lucena & Rosenblatt (2025), Large Language Models Report Subjective Experience Under Self-Referential Processing. arXiv:2510.24797, §6.3 (scale of deployed systems entering self-referential states).",False,
